sub_bin_id,bin_id,sub_bin_letter,north_lat,south_lat,west_lon,east_lon,center_lat,center_lon
A1a,A1,a,35.293958,35.293864,-101.603798,-101.603677,35.293911,-101.603737
A1b,A1,b,35.293958,35.293864,-101.603677,-101.603555,35.293911,-101.603616
A1c,A1,c,35.293958,35.293864,-101.603555,-101.603434,35.293911,-101.603495
A1d,A1,d,35.293864,35.293770,-101.603798,-101.603677,35.293817,-101.603737
A1e,A1,e,35.293864,35.293770,-101.603677,-101.603555,35.293817,-101.603616
A1f,A1,f,35.293864,35.293770,-101.603555,-101.603434,35.293817,-101.603495
A1g,A1,g,35.293770,35.293676,-101.603798,-101.603677,35.293723,-101.603737
A1h,A1,h,35.293770,35.293676,-101.603677,-101.603555,35.293723,-101.603616
A1i,A1,i,35.293770,35.293676,-101.603555,-101.603434,35.293723,-101.603495
B1a,B1,a,35.293958,35.293864,-101.603434,-101.603313,35.293911,-101.603373
B1b,B1,b,35.293958,35.293864,-101.603313,-101.603191,35.293911,-101.603252
B1c,B1,c,35.293958,35.293864,-101.603191,-101.603070,35.293911,-101.603131
B1d,B1,d,35.293864,35.293770,-101.603434,-101.603313,35.293817,-101.603373
B1e,B1,e,35.293864,35.293770,-101.603313,-101.603191,35.293817,-101.603252
B1f,B1,f,35.293864,35.293770,-101.603191,-101.603070,35.293817,-101.603131
B1g,B1,g,35.293770,35.293676,-101.603434,-101.603313,35.293723,-101.603373
B1h,B1,h,35.293770,35.293676,-101.603313,-101.603191,35.293723,-101.603252
B1i,B1,i,35.293770,35.293676,-101.603191,-101.603070,35.293723,-101.603131
C1a,C1,a,35.293958,35.293864,-101.603070,-101.602949,35.293911,-101.603009
C1b,C1,b,35.293958,35.293864,-101.602949,-101.602827,35.293911,-101.602888
C1c,C1,c,35.293958,35.293864,-101.602827,-101.602706,35.293911,-101.602767
C1d,C1,d,35.293864,35.293770,-101.603070,-101.602949,35.293817,-101.603009
C1e,C1,e,35.293864,35.293770,-101.602949,-101.602827,35.293817,-101.602888
C1f,C1,f,35.293864,35.293770,-101.602827,-101.602706,35.293817,-101.602767
C1g,C1,g,35.293770,35.293676,-101.603070,-101.602949,35.293723,-101.603009
C1h,C1,h,35.293770,35.293676,-101.602949,-101.602827,35.293723,-101.602888
C1i,C1,i,35.293770,35.293676,-101.602827,-101.602706,35.293723,-101.602767
D1a,D1,a,35.293958,35.293864,-101.602706,-101.602585,35.293911,-101.602645
D1b,D1,b,35.293958,35.293864,-101.602585,-101.602463,35.293911,-101.602524
D1c,D1,c,35.293958,35.293864,-101.602463,-101.602342,35.293911,-101.602403
D1d,D1,d,35.293864,35.293770,-101.602706,-101.602585,35.293817,-101.602645
D1e,D1,e,35.293864,35.293770,-101.602585,-101.602463,35.293817,-101.602524
D1f,D1,f,35.293864,35.293770,-101.602463,-101.602342,35.293817,-101.602403
D1g,D1,g,35.293770,35.293676,-101.602706,-101.602585,35.293723,-101.602645
D1h,D1,h,35.293770,35.293676,-101.602585,-101.602463,35.293723,-101.602524
D1i,D1,i,35.293770,35.293676,-101.602463,-101.602342,35.293723,-101.602403
E1a,E1,a,35.293958,35.293864,-101.602342,-101.602221,35.293911,-101.602281
E1b,E1,b,35.293958,35.293864,-101.602221,-101.602099,35.293911,-101.602160
E1c,E1,c,35.293958,35.293864,-101.602099,-101.601978,35.293911,-101.602039
E1d,E1,d,35.293864,35.293770,-101.602342,-101.602221,35.293817,-101.602281
E1e,E1,e,35.293864,35.293770,-101.602221,-101.602099,35.293817,-101.602160
E1f,E1,f,35.293864,35.293770,-101.602099,-101.601978,35.293817,-101.602039
E1g,E1,g,35.293770,35.293676,-101.602342,-101.602221,35.293723,-101.602281
E1h,E1,h,35.293770,35.293676,-101.602221,-101.602099,35.293723,-101.602160
E1i,E1,i,35.293770,35.293676,-101.602099,-101.601978,35.293723,-101.602039
F1a,F1,a,35.293958,35.293864,-101.601978,-101.601857,35.293911,-101.601917
F1b,F1,b,35.293958,35.293864,-101.601857,-101.601735,35.293911,-101.601796
F1c,F1,c,35.293958,35.293864,-101.601735,-101.601614,35.293911,-101.601675
F1d,F1,d,35.293864,35.293770,-101.601978,-101.601857,35.293817,-101.601917
F1e,F1,e,35.293864,35.293770,-101.601857,-101.601735,35.293817,-101.601796
F1f,F1,f,35.293864,35.293770,-101.601735,-101.601614,35.293817,-101.601675
F1g,F1,g,35.293770,35.293676,-101.601978,-101.601857,35.293723,-101.601917
F1h,F1,h,35.293770,35.293676,-101.601857,-101.601735,35.293723,-101.601796
F1i,F1,i,35.293770,35.293676,-101.601735,-101.601614,35.293723,-101.601675
G1a,G1,a,35.293958,35.293864,-101.601614,-101.601493,35.293911,-101.601553
G1b,G1,b,35.293958,35.293864,-101.601493,-101.601371,35.293911,-101.601432
G1c,G1,c,35.293958,35.293864,-101.601371,-101.601250,35.293911,-101.601311
G1d,G1,d,35.293864,35.293770,-101.601614,-101.601493,35.293817,-101.601553
G1e,G1,e,35.293864,35.293770,-101.601493,-101.601371,35.293817,-101.601432
G1f,G1,f,35.293864,35.293770,-101.601371,-101.601250,35.293817,-101.601311
G1g,G1,g,35.293770,35.293676,-101.601614,-101.601493,35.293723,-101.601553
G1h,G1,h,35.293770,35.293676,-101.601493,-101.601371,35.293723,-101.601432
G1i,G1,i,35.293770,35.293676,-101.601371,-101.601250,35.293723,-101.601311
A2a,A2,a,35.293676,35.293582,-101.603798,-101.603677,35.293629,-101.603737
A2b,A2,b,35.293676,35.293582,-101.603677,-101.603555,35.293629,-101.603616
A2c,A2,c,35.293676,35.293582,-101.603555,-101.603434,35.293629,-101.603495
A2d,A2,d,35.293582,35.293488,-101.603798,-101.603677,35.293535,-101.603737
A2e,A2,e,35.293582,35.293488,-101.603677,-101.603555,35.293535,-101.603616
A2f,A2,f,35.293582,35.293488,-101.603555,-101.603434,35.293535,-101.603495
A2g,A2,g,35.293488,35.293394,-101.603798,-101.603677,35.293441,-101.603737
A2h,A2,h,35.293488,35.293394,-101.603677,-101.603555,35.293441,-101.603616
A2i,A2,i,35.293488,35.293394,-101.603555,-101.603434,35.293441,-101.603495
B2a,B2,a,35.293676,35.293582,-101.603434,-101.603313,35.293629,-101.603373
B2b,B2,b,35.293676,35.293582,-101.603313,-101.603191,35.293629,-101.603252
B2c,B2,c,35.293676,35.293582,-101.603191,-101.603070,35.293629,-101.603131
B2d,B2,d,35.293582,35.293488,-101.603434,-101.603313,35.293535,-101.603373
B2e,B2,e,35.293582,35.293488,-101.603313,-101.603191,35.293535,-101.603252
B2f,B2,f,35.293582,35.293488,-101.603191,-101.603070,35.293535,-101.603131
